City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Chokurdakh,RU,70.6333,147.9167,-43.85,100,95,4.83,overcast clouds
249,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.09,100,100,1.28,moderate rain
250,Los Andes,CL,-32.8337,-70.5983,68.58,53,0,1.14,clear sky
251,Loanda,AO,-8.8368,13.2343,72.99,89,99,5.37,overcast clouds
252,Prince Rupert,CA,54.3161,-130.3201,41.09,87,100,18.41,light rain
253,General Roca,AR,-39.0333,-67.5833,76.51,27,1,16.02,clear sky
254,Somotillo,NI,13.0433,-86.9064,72.86,63,5,0.89,clear sky
255,Guerrero Negro,MX,27.9769,-114.0611,64.04,43,0,2.53,clear sky
256,Marawi,PH,7.9986,124.2928,73.65,64,97,6.62,overcast clouds
257,Dickinson,US,29.4608,-95.0513,53.13,52,0,9.22,clear sky
258,Matara,LK,5.9485,80.5353,84.38,64,92,5.14,overcast clouds
259,Carnarvon,AU,-24.8667,113.6333,86.05,36,0,17.63,clear sky
260,Hualmay,PE,-11.0964,-77.6139,70.27,80,99,7.58,overcast clouds
261,Murgab,TM,37.4966,61.9714,45.27,53,73,1.9,broken clouds
262,La Rioja,ES,42.25,-2.5,33.12,75,2,3.47,clear sky
263,Kuminskiy,RU,58.6667,66.5667,2.86,96,44,6.44,scattered clouds
264,Deputatskiy,RU,69.3,139.9,-32.6,97,89,3.13,overcast clouds
265,La Asuncion,VE,11.0333,-63.8628,76.23,88,51,13.15,broken clouds
266,Balkhash,KZ,46.844,74.9804,21.81,93,40,15.66,scattered clouds
267,Khorixas,NA,-20.3667,14.9667,67.57,85,26,1.14,scattered clouds
268,Rafaela,AR,-31.2503,-61.4867,66.97,53,0,1.99,clear sky
269,Itarema,BR,-2.9248,-39.9167,77.05,85,3,6.71,clear sky
270,Harper,LR,4.375,-7.7169,78.28,84,89,5.19,moderate rain
271,Nenjiang,CN,49.1833,125.2167,10.47,83,28,1.7,scattered clouds
272,Vostok,RU,46.4856,135.8833,11.25,84,100,8.28,overcast clouds
273,Saint-Marc-Des-Carrieres,CA,46.6834,-72.0491,19.47,93,84,8.08,broken clouds
274,Tamiahua,MX,21.2667,-97.45,53.08,91,100,18.77,overcast clouds
275,Saint-Joseph,RE,-21.3667,55.6167,80.98,83,100,10.42,overcast clouds
276,Wajima,JP,37.4,136.9,37.89,77,100,10.65,overcast clouds
277,Susanville,US,40.4163,-120.653,32.09,77,14,1.99,few clouds
278,Port Hardy,CA,50.6996,-127.4199,44.76,90,97,4.34,overcast clouds
279,Gushikawa,JP,26.3544,127.8686,71.19,64,75,19.57,broken clouds
280,Cidreira,BR,-30.1811,-50.2056,66.0,81,1,7.85,clear sky
281,Hami,CN,42.8,93.45,29.35,32,0,2.64,clear sky
282,Hobyo,SO,5.3505,48.5268,77.22,63,8,18.77,clear sky
283,Kaeo,NZ,-35.1,173.7833,77.32,93,86,7.49,overcast clouds
284,Luklukan,PH,14.3254,122.7124,81.64,76,81,11.88,broken clouds
285,Taoudenni,ML,22.6783,-3.9836,63.57,15,0,10.4,clear sky
286,Kabanjahe,ID,3.1001,98.4908,68.76,77,98,3.98,overcast clouds
287,Te Anau,NZ,-45.4167,167.7167,74.28,37,0,1.07,clear sky
288,Severo-Kurilsk,RU,50.6789,156.125,32.63,83,60,10.27,light snow
289,Dicabisagan,PH,17.0818,122.4157,81.48,68,65,5.79,broken clouds
290,Tombouctou,ML,20.0,-3.0,60.8,13,19,10.07,few clouds
291,Neryungri,RU,56.6709,124.6491,0.99,89,64,2.13,broken clouds
292,Taonan,CN,45.3333,122.7833,22.93,69,2,2.21,clear sky
293,Libreville,GA,0.3925,9.4537,78.39,86,52,5.55,light rain
294,Lloydminster,CA,53.2835,-110.0016,36.0,81,41,25.77,scattered clouds
295,Constitucion,CL,-35.3333,-72.4167,58.68,83,17,4.99,few clouds
296,Isiro,CD,2.7739,27.616,60.48,44,46,1.28,scattered clouds
297,The Valley,AI,18.217,-63.0578,77.09,70,35,20.47,scattered clouds
298,Bacolod,PH,10.6667,122.95,86.9,62,76,11.97,broken clouds
299,Aswan,EG,24.0934,32.907,56.43,44,0,9.64,clear sky
300,Acarau,BR,-2.8856,-40.12,77.13,85,4,6.44,clear sky
301,Mahebourg,MU,-20.4081,57.7,82.69,78,75,12.66,broken clouds
302,Brae,GB,60.3964,-1.353,42.71,69,99,31.18,overcast clouds
303,Awjilah,LY,29.1081,21.2869,55.54,29,3,7.54,clear sky
304,Mecca,SA,21.4267,39.8261,71.24,38,2,1.88,clear sky
305,Niamey,NE,13.5137,2.1098,67.8,16,0,9.86,clear sky
306,Tshikapa,CD,-6.4167,20.8,69.69,97,100,0.92,overcast clouds
307,Tangier,MA,35.7806,-5.8137,58.26,82,0,23.02,clear sky
308,Pujili,EC,-0.95,-78.6833,50.29,95,100,3.56,overcast clouds
309,Tanout,NE,14.9709,8.8879,57.9,15,0,11.81,clear sky
310,Lata,PT,40.1629,-8.3327,44.04,66,0,5.17,clear sky
311,Narsaq,GL,60.9167,-46.05,-7.98,73,83,11.81,broken clouds
312,Goderich,CA,43.7501,-81.7165,29.91,80,100,11.5,overcast clouds
313,Shenjiamen,CN,29.9576,122.298,45.63,66,69,18.68,broken clouds
314,Stornoway,GB,58.2093,-6.3865,40.96,72,40,14.97,light rain
315,Ostrovnoy,RU,68.0531,39.5131,17.4,91,100,15.66,overcast clouds
316,Lavrentiya,RU,65.5833,-171.0,-26.68,91,1,11.7,clear sky
317,Zalantun,CN,48.0,122.7167,19.69,55,3,1.54,clear sky
